error,in_original,in_import
different GUID,1V8Tq0OFj91OWiIb7OgssW,2wKJAImpbDtQPXPEHdSqnf
different name,liftdeur,IfcDoor - liftdeur
different GUID,2qQEfBo11B5RTiiCq7k79L,33POxJ5Av9xg35FodnRMBK
different name,liftdeur,IfcDoor - liftdeur
different GUID,1uxuNhGl5C28Agr6eD5Bmj,1N8jdPhLj8sgL9WTBmPfA9
different name,liftdeur,IfcDoor - liftdeur
different GUID,2tt4s65cb2fgd3alKSa46a,2823zFCGLFJwzqOVgPgY5l
different name,liftdeur,IfcDoor - liftdeur
different GUID,1DMKLKe45CzO6gemze$ha$,01$ZvK6jH3q9yL5jdGIGeG
different name,D3L,IfcDoor - D3L
different GUID,3OgInA0dD3qBERzneS1WG0,0z9un40jD1I8aH16Pb1wX8
different name,D3L,IfcDoor - D3L
different GUID,1cjDN$L7j3xQ6006KWGjlJ,3mxY_DbC16Yhj88mWi96rS
different name,D2L,IfcDoor - D2L
different GUID,3cjGEZBqP9GQh7eyumO1LZ,2$qSefNIrCM8BKziGedEMi
different name,D3R,IfcDoor - D3R
different GUID,1LZHcsRev6lhsez4LMDFr$,35I3$LT1r7v9lwWhk4$5Mz
different name,D1R,IfcDoor - D1R
different GUID,0wAyj9PWL7guJFQHdw7ccc,16vu2$X35DrftxjUzy9_i6
different name,D5R,IfcDoor - D5R
different GUID,03KwpgDxXCQBYi7KkY7sYB,3g2i9iZpPE_97wP2de52DE
different name,D6L,IfcDoor - D6L
different GUID,2cb8c3os963f5n9Wjr4O99,0B86d8uFD42QbMJSyXJG1M
different name,D1L,IfcDoor - D1L
different GUID,3N5xNVjr9Ehhxk6BUdGUAs,3ic8Y1pMj35PLrDX6Rrd50
different name,D5R,IfcDoor - D5R
different GUID,15D5L0A5L99eNxZZrhk3Pa,39vBIChQ55ZRzPg7fAoHmV
different name,D3L,IfcDoor - D3L
different GUID,2AH9fQqwXE9O9QvwUR77zF,23Uw0gOw59If0oSIXKSv0H
different name,D1R,IfcDoor - D1R
different GUID,02v5nA3u16Nh8SnTLbZVnM,1KCCZIigvDsQTerm7zYSn_
different name,D5R,IfcDoor - D5R
different GUID,3BDarYIf1EXRuu7o6glIV$,17pUd8ULDFL8RHy_YwLJE4
different name,D1R,IfcDoor - D1R
different GUID,2lVoJcfoDAWB0KDozjmBha,0$C63YqCz38wFUQokxM0wP
different name,D6L,IfcDoor - D6L
different GUID,3lE1SkMIbDaBDRbQV9PuSz,0D0wgIJxz8zeIWayEIBf0J
different name,D5L,IfcDoor - D5L
different GUID,1donuLXK125fRkeWlAA8Cq,3IwyszoTX0JPmw758YLAyM
different name,D4R,IfcDoor - D4R
different GUID,3I96DDOZX58xC3RmUZssQx,20FFy1IdDETPH2XlSaymnp
different name,D2R,IfcDoor - D2R
different GUID,3lsMx$fx16hhyCY_qE6IRh,228X9WZBfDW8eWH_3n1Gsb
different name,liftdeur,IfcDoor - liftdeur
different GUID,3V4FbFEIL7Texif7yDL7jp,21d8CDMdz19AjPHMgeX5_j
different name,liftdeur,IfcDoor - liftdeur
