error,in_original,in_import
different GUID,0_nanN5VH5eARTiW6lUQd3,0JlCWSpP1DeOn_$G4Rw9uH
different name,merk G,IfcWindow - merk G
different GUID,2okwPp_551sf2xuZcfRIdG,0WTrSw5UX15efu_i4hsqUu
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3H7pBT9U13kuEq2qj2wzQk,1CtCRbWeL85uq2sp8Q71r6
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,09bCBGNx5F8xAq8JjO37a4,1iUKZI_Q1D8e$zH9pe__vU
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0tvRrpQa9Brgk0PO3rZ7pS,2cqOrkxXPDNA93fMy0r8Qo
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2Ap4dwiajE799Gm9tGiJx1,2lWlx5uUP0IPEcJoYNgJve
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1_nRsWg_f0XubfZfIIRP3k,0HE3djY5f5PfLpmtj1PD6R
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3SgAlyy0D4NQuzsMpXqOUR,3abMm3EAn12w1o3vcjI2KW
different name,merk B1,IfcWindow - merk B1
different GUID,03aP3tMUjC5voZmp9koxhs,1_3wV5KRP3ywXyxFvs74a_
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2lkytCG9rD3O3IXV5k3j5H,2TtMBPysfEcAEg6C02ISaZ
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2YIkXYWk12Ruf2QsE9cXTp,263dq4YV95eRm9nO4oqZiU
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2VRR1TrGT6eBTc8nAX0QwP,3dF1csU6v4yP2YT8gwwSUO
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,05Whcg$392JeMCX54BugRl,1TXr3C0rbAxB86O$sknt2R
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2m0Oxn1sr74ODbW_x3jNoG,1TPyCi79j9vuXmleBj66C3
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,382pcuNAr1tep31IH5fMSU,1i_vXhZLfD085WTQ5_5beW
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,25iCNH$Vb5quMnNN$zdiEg,1NXaul2tb64gicFzT0DyNa
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3SinmO3Pj0_fGoIba5Tpbf,2z8o3MMBfB5hKOWQn7ZtvR
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,12TtYnsRH7R8kq19$bZFwV,2aD63C1TjBcgWPlf$G90d9
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,21v6Lxsl1BCPpmriUOgAsP,33LLwMgVT2HOC58shztDB$
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0fQEU5rGPBq9vOpiEoyBBR,1OVnxMgRj4MP7dePzL5ENU
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3LppQIb2j30xblkm5GtTTV,0nYJWD5PX3wuLRsYw6DFLO
different name,merk B1-R,IfcWindow - merk B1-R
different GUID,01z1iheQT4$8X5aY0_r4QJ,2CpciPS99BpA1xbB2S$4Jm
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0G1Gjz4oHDNe$dN2BBokLe,1vfKE$6qHCxwFbuLCqjg_j
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0MXxM0JgP2KuGUWBtQY80N,02_pee96v5TRtj$j_bfn1u
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0pZslPSAb8jBEsesxVZzu0,0UmXKadWH9P8kf0M1DW8gm
different name,merk B1sp-R,IfcWindow - merk B1sp-R
different GUID,3RaVPvaOf64eZBU6WKpwMU,1i2g4Bn_LFBhEj4gMSsVv$
different name,merk B1-R,IfcWindow - merk B1-R
different GUID,1teUYP1Rv0ZhB_2gzRilQR,0He6r28v56qgKzXZnq6vRz
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1EL9JU43nABBdNk_W52fqh,20zv$eM918uR8hVbMAR3Tj
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0r1tRl0qv5G9URrsYopY0P,31Bh45LcP77QRD$G4LCQ_D
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,176JSQqvPCR9mZPbZYohue,1NEEY_18n55vrPyGfChprB
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,39e5HG9Mz5bhpeErZLhRP4,3gspxKuMD1IgUvVtP_WJio
different name,merk B1sp-R,IfcWindow - merk B1sp-R
different GUID,251rxV64H62xIQNojyGRwU,0tByRb2Bf9hQkIdNJttcYa
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1PAxaJRu13gfudq_tpVBm7,2J0G9mat9CQfIaoqTwvxaS
different name,merk M,IfcWindow - merk M
different GUID,3bpb$MQq50M8aknXg_9Fdp,04anPOhoXENhfsIhFJfH7y
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0ZU09EWLf0fQUCDcc5uEu_,39XI2qL1z8xQATrkcDW_gV
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1D3QrwQQnDpBzpUuSTr$BU,2HRpN3LXnEVPXzrWf9ki8n
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1YZgYVVw9F0Qg_cyVJnVhp,364ACvZJz3OAFwhylXBd82
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3Y6cgtY0rEBQUJPUx_aPRF,1k$jUjwFX7nwQztPLHkebu
different name,merk M,IfcWindow - merk M
different GUID,3MrGY57rjE4Owj5UJO3Umk,3QwGJw2HX8eAG$j8IQAGEc
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1IYBmrd2H8ihMtKIvfnjz0,3lkr58Apz9seSvJyGO4b3a
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3vvdwTEwn8XfzKTKW82ej4,1HUH24NlfASvws1Z3VZFQW
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2M$dfAAj90C9cPQZXqCaMP,2zDxozj2L5AAK9llsURcDw
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,2$5nWI0fL8zwtrwndfa9MN,1hQSaKP717Cgg1qzY59CbR
different name,merk B2-R,IfcWindow - merk B2-R
different GUID,1YokH0mfn7782tC$kkBV9N,1iM_R82fjC1gi7Ge2wBKv$
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1drJr9gifENhdb9tpZx1m6,1uiZrxwtr63RA6WL5x135F
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3Qds1Ttm57nPXC1iJ$aE$M,3979KNorD0EOwvIJSJg$_c
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,3OOESiHE9Cng4Bb4pE0UY6,20MzKj20P2Xv2lD$Sv5C9V
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1nalLUQ2z9_wBIkbXwMz6_,0sxhfeD8f26QMnz$kd4PWZ
different name,merk Lsp-R,IfcWindow - merk Lsp-R
different GUID,0l79Hol6v6XBNPQpgDR__D,2LgClifXHCDQz25c8y3_xo
different name,merk L-R,IfcWindow - merk L-R
different GUID,3oAFxBcTz9oeraTpYdYjN5,0MjSf7FbfCIQKIr2MbkfSh
different name,merk L-R,IfcWindow - merk L-R
different GUID,3BudmayvDEg9diXrrDKJ0K,2FL1YEjQL1eeGVMkTgvmbF
different name,merk Lsp-R,IfcWindow - merk Lsp-R
different GUID,3zP$yy82X1zQpQLI8ob4xL,3fUUsjUOzE6PKm248Q8ZIG
different name,merk G,IfcWindow - merk G
different GUID,0rgvpCJSX1cOzYjSKRiBzu,1PHR4Te853Aw4xZKW9BBxU
different name,merk G,IfcWindow - merk G
different GUID,0U9_x2D65DmwQy5m_Q35Ne,1fKBGPzynCoQ8souUfGYAU
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,1MAxgv_XP6ZQ97AQrkDyrt,3UB4ARJQPD0eXFDhb3cR8E
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,0HiNZtHwPCJuXK3YsKm49z,2sJWcZnY9Dt9yZIPkReAKI
different name,stelkozijn,IfcWindow - stelkozijn
different GUID,25P1FLrhb43ONVrD2L840O,3r_ZZydkbE0Q2$PK3_0mdS
different name,stelkozijn,IfcWindow - stelkozijn
Mismatch in storey GUID,0wPqxf9KX0nPDjgzD8mXwD,1z2LUw1mHE48sZ7WcqyaOo
Mismatch in storey name,02 tweede verdieping,IfcBuildingStorey - 02 tweede verdieping
different GUID,0wPqxf9KX0nPDjgzD8mXwD,1z2LUw1mHE48sZ7WcqyaOo
different name,02 tweede verdieping,IfcBuildingStorey - 02 tweede verdieping
different GUID,3q2cfkujDA4h8rK4udlhjq,08_D6$UcPEoelm6nT3ITag
different name,hoeklijn bordes,IfcBeam - hoeklijn bordes
different GUID,1Jt7say5DBTPG$0$gegcAf,0YgC9Ciiz5ofJwWSWOc$Ta
different name,hoeklijn bordes,IfcBeam - hoeklijn bordes
different GUID,1ZUt9o17T0mOX7uFuiqqaj,380HasZRb0AwwBH6Q$Geav
different name,staal halfspant,IfcBeam - staal halfspant
different GUID,3SxHgircbC9hSa_f9YYJJ$,2xhMeXodb6OQvf15Ya37mc
different name,staal halfspant,IfcBeam - staal halfspant
different GUID,0hcpNW0db6X87YuVp_2ciE,3QXV9MlYX7gR8x$cfxsS3c
different name,staal halfspant,IfcBeam - staal halfspant
different GUID,0k653Rg_z8xQ3HPFizAOCW,2mVzZjJDz72h4sbuNH8zAz
different name,staal halfspant,IfcBeam - staal halfspant
different GUID,0sfYqP8DDATxl1u47I11Yd,1FeXXJTLz8$OdetPhoOvJM
different name,HEA180,IfcBeam - HEA180
different GUID,15yxQAL$f43P0u1dI$k5aM,3eWmEBk1L70QoKz$f2v2iP
different name,HEA180,IfcBeam - HEA180
different GUID,130A2mOb118fGCKfA$dOPJ,2D5earmTH8ehJ_2$GIBkEf
different name,HEA180,IfcBeam - HEA180
different GUID,0QRdo0_S52Bf0hGTlrzUF5,0vAViJH7DBBO9YhODxwNUa
different name,HEA180,IfcBeam - HEA180
different GUID,2HmiD6wm592AAFyz2dr1Pf,2qgZ1ENMz0vPLybSyX3atp
different name,HEA180,IfcBeam - HEA180
different GUID,3k9D1gOuf01OXU2EnmzMAH,2QP8WayzHAje0AuY1qSsKA
different name,HEA180,IfcBeam - HEA180
different GUID,3eVLh_nMf51BErb6dTmOYv,0SxNchwxL5APDOx7o$yPXv
different name,HEA180,IfcBeam - HEA180
different GUID,3doFsyD$TAtOoTUzw7BC1v,3GAYv$Jjn6fw$3K6hEtlOi
different name,HEA180,IfcBeam - HEA180
different GUID,0eFgQlw4j5RQ4lKN7Wx8BF,3Oc3HbzIj7TAg_xlAbXp8H
different name,HEA180,IfcBeam - HEA180
different GUID,1yOYfHuUPEiObFJrOT7k_r,0rekXP2yz0cw0uuoWmqqkn
different name,HEA180,IfcBeam - HEA180
different GUID,2Ukg0dPlL0Ef04YM$OVBat,10M27wXLrBjAcEug1INLX7
different name,HEA180,IfcBeam - HEA180
different GUID,1Vl5CJOxv3Dfs5Ry_QCti2,2EFc8_k7X6Rv7A5H72wbSO
different name,HEA180,IfcBeam - HEA180
different GUID,1nkBTQxQ52TerLh7DOjRh6,3T0R75xvnDlAJSB7cwQeVv
different name,geveldrager,IfcBeam - geveldrager
different GUID,2hmBGtlFT17AQbvvLa0rD0,1lCjmpG4v1XBDlVe_U3_k8
different name,geveldrager,IfcBeam - geveldrager
different GUID,3S9hlUrjj2EPxgpyC61kto,2fYNmgBYL0ZeVoeBkPGale
different name,betonlatei,IfcBeam - betonlatei
different GUID,0j4QDQjH9A$h43eLDGhXyl,0VAZs1qt589vdXKIyiD$Dr
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,1jxOIPWGn7Rfxz4k0FeFEJ,2G2x52bM17axmzAGdu4BYB
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,0_sNN9JIv40eZPdsuo5N6E,3ZVRAG7DzFDA4_HZ5YrCG7
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,1vP2sJ$_v9XRPftfJxtqWr,1BWVDk0KnEjREzgfxrKmS1
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,0UxjVg0CTCqAW8uGT8wJjn,1I3e0V8Rv3Oui$OM7sL2Wf
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,16VL86SyDCL8gVUYSjW$7s,32Fqo_2xH3IeE4s6k2EKk_
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,1b$Bo90Lv6aO5ZfZ5bKmrB,3rpUTM3cb0Rx8xOoW1_yQw
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,3Wlz9yohj8ThYG1fG8xA6r,1iVV6BXFb23u7mvO7h1Ijo
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,0RXteokS174O1MF_ZesSRJ,0$PuaXFRr8BeYp9VKNUxJS
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,1OSreoxzj3r9gdUen2MmDQ,20SMf5Ge54L9jJ__0VXewm
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,29IOQ3fjb3cBrPW939Umfc,2giWWOyv13pwQH75xKNsnU
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,0EV1tBRrXBFB54GuiZ9KNi,10yNMXZ4f9bQS$8i8RuNK$
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,3SXKMDKGbFJ8igoQRlAZ6R,0iOn2lLVr3XAhB8mcBg8SA
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,04Vz55ZDX70v$sJ1Z2p7ix,1z7lH21Ej2BfNOO0JgoXNW
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,11gA5Dui92yhHMbdm2nIvn,1hM$UJVFDDKumd6KLwiblt
different name,stripstaal 80/8,IfcBeam - stripstaal 80/8
different GUID,3WwF3ZUyL3_uOcvhLTlqWJ,2wnKfOStnF9Pcvn6IbXlyd
different name,balusters,IfcColumn - balusters
different GUID,1L$7w_vsP2O9IsnEN5d1nZ,1cE6ZdAfH1JOvTOoW8Ku8h
different name,balusters,IfcColumn - balusters
different GUID,159QrTsQb9zu88XvB88A2Z,1kSize9CX3Ugs_8ZRtI$cX
different name,balusters,IfcColumn - balusters
different GUID,0MManSxITCBR5hqtmVQft$,1_kV49PMr9meb9fsEBwhay
different name,balusters,IfcColumn - balusters
different GUID,0PwN5MKCnENu413RHBr2sB,0gSfDP7N5B9gpG4D$OIKGZ
different name,balusters,IfcColumn - balusters
different GUID,3o_mcdn_vDavgeLjgPBtk_,23hbJvqjnEyAvRgkeaAmSG
different name,balusters,IfcColumn - balusters
different GUID,1C_2jEzdDEK8Xv0nCzYd1Q,2CaxxS8j1Akvll3dhd6iO5
different name,balusters,IfcColumn - balusters
different GUID,0RXt3SWyX7NQmQgLj8MtLn,0xt24g$IjAmgQmOzt6q4ur
different name,balusters,IfcColumn - balusters
Different number of IfcCovering in storey 02 tweede verdieping,268,0
different GUID,3UPz4qnhz6dR_hTWbylJYM,1PDKteMQD03upmniQjAG9g
different name,merk A3,IfcDoor - merk A3
different GUID,3xkLH3xAf9Qvv7jXLTD0bw,1f27ectFvCnv2KlcGA30q4
different name,liftdeur,IfcDoor - liftdeur
different GUID,13lQ7MfpP9YQNh0Z31qoMP,1U8huSUv13QxJ6MuZznXS_
different name,merk E2-R,IfcDoor - merk E2-R
different GUID,3Elkb_Klj4kOU0Qc6PaizN,085X5s_jz2fPf1_aqjlsLz
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,26wG__yAf4jhBihTArGrfi,0xb0mSAjjAt8_InPtmTPUt
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2BidPHSyjAeQnxVo9HGHwm,0vUuvAQ5v3hA$CeL4en3jB
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,3WXd7RsH9CT9CRRwuhBxrU,39afIxTDn20g16baDEd$7Q
different name,merk H,IfcDoor - merk H
different GUID,06lQ_SRDbDyuiUF0YIGOKi,3DePbkze19KeDlv7VZpfgi
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1zulTwZuvE8uDQG8i0rPWu,1pHve$RuzFhP8wOvZWEvfz
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0ghxYtUBn0pv_pxPdAfhme,3mkd$6X0j08A3Of50fvLPj
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,3G$_TtmoH0i97AYiv2eBBu,1iGGFWGDTC$v9N_AyIKgdf
different name,merk H,IfcDoor - merk H
different GUID,2_vRJL86PBTQqE3ySM6YFm,0xOKFMZ4r6OeCm42UM1AS4
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1soUbpz7v1zxTj9qXJhloc,0b_bg7MaT0GfHtIAz2nz0W
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0LbBET9Yz9egUjXX_5FIas,2mHnmRTR57PBFpIFcCi06r
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1EgBW0IB95EeR9l7z9ma4W,0c6PkOLoz8FequtYWKQexg
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2zx7EWNY98lOv3r2x2yc76,00w9A5qHPB2uenLl3yPPpm
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,262iH081180RfRZcryzr7v,2AKx7RvUHD8fAz5htVwYlp
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,0HKXdsxQDBXehvvnIH9Bj2,0bropPVUr4FQJtZXzG8S3j
different name,merk E2-R,IfcDoor - merk E2-R
different GUID,1FtRH1k0bE4fyu_U9mJBmf,0kOZS8Woz2jgOzs4w7HuUS
different name,merk H,IfcDoor - merk H
different GUID,27bh8yZhL8hPRD0H6aMxEY,3Wkqk1SATE_PIAj9E8zcQK
different name,merk H,IfcDoor - merk H
different GUID,3v$Jw_gpr6OOS8FFzqFDOt,3ax5BF4O1EVB2OgE$RrnLk
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,1_5gcKSrbEWfNgi3h_qdnx,2xF$c5bq97lAmOQ6nYEOz_
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,3V_oBYi792a9_YZErx8HIx,0R$hLfQHf9FPZqWCB1zZqr
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2VKgopOMr4PQnzIHA$Zbht,2zaZy5_a5AzwYCMyvCEpWa
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,2152K7A7j0Xhs5JOT$GaL4,2TUQm6pI1CZg80KoL8LBLx
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,25jGa8wIHFKepyW_M4Ngs7,3mP9zsdEn6awdruQb8pLE0
different name,stelkozijn,IfcDoor - stelkozijn
different GUID,3G7ktHYG96gQbiZjzEbR8N,2lyce_mBL3RBsroF4suEPt
different name,liftdeur,IfcDoor - liftdeur
different GUID,2K7avqptP0rAzb1886J2AI,2zAcZjNOfChuYeu7PfpteC
different name,liftdeur,IfcDoor - liftdeur
different GUID,0mLDe0vvD7lQPHmwh__YTZ,3vEzzoraX0Hg8TjlX2TzgX
different name,liftdeur,IfcDoor - liftdeur
different GUID,1MMTbq1t93CfhQ63Tyks8n,09DwWanyr54vKTHWNka04B
different name,D1R,IfcDoor - D1R
different GUID,0HTjC8kFv6W9Fd4e3r5fjg,3fPEdY9wLAOOvlPKVS6NfI
different name,D2L,IfcDoor - D2L
different GUID,2pAvanoIzEV8kE6N3CBDLL,2AOhQA$6n2nQWQhaOGGNuF
different name,D5L,IfcDoor - D5L
different GUID,1jTFg_BbD2_gRGTcr0jnVr,3hmfiZb158_ebRL5o7inW7
different name,D5L,IfcDoor - D5L
different GUID,0h4oGef9T1PgTelA09ZLn2,0J9BG$KC9Ekx8FI8AgTATV
different name,D6L,IfcDoor - D6L
different GUID,2EKQPtlE15r9nj5or9E3v0,3jEXq39FT4NxwFHelzpHll
different name,D1L,IfcDoor - D1L
different GUID,3sicsb7Rv7vOSpwjkHwdXP,3TnqifHYL8PgbSTmwfLmzt
different name,D1L,IfcDoor - D1L
different GUID,2Gq0QN14T6$e3J8hk70VQH,0_am6zJJvDuQ0FjSEuE32Q
different name,D5R,IfcDoor - D5R
different GUID,3wks5cHiv9puC78stid7dq,0J9YMqjTT1yuFO0Myc6lOF
different name,D3R,IfcDoor - D3R
different GUID,06_o2t73nBXvUfWV0NnaRj,0wXRqr0n18Kf$v3ce$9OqV
different name,D5L,IfcDoor - D5L
different GUID,0$vj6GrA15b852nxv8ecYB,1rQqZBzyPA38NljYTth9VA
different name,D2R,IfcDoor - D2R
different GUID,0etZemLbbAog_wCl27YohR,1fXty3KmTAQP$TI3xLdG9I
different name,D1R,IfcDoor - D1R
different GUID,0rEPlH2fP8YQ_q3GiazsFo,0Evr7Kb89DsfGwRFchrJqN
different name,merk A3sp,IfcDoor - merk A3sp
different GUID,2$y_vPdK50rvRCnxRgbax0,1fpFX55MT0rALXlhZlA$mG
different name,liftdeur,IfcDoor - liftdeur
different GUID,2nEtJExy5EkR8dxB8J7WF8,15VcyA1D55aeP$b6mWx$rn
different name,liftdeur,IfcDoor - liftdeur
different GUID,1UCnFJQ7nDgAX31ppgw6Pa,3n9hbVn0zAJOqt0owk9op6
different name,liftdeur,IfcDoor - liftdeur
different GUID,1Uv0j9g_TDo9SZvipUwvCd,1$ffLl8B5ADRE_I0BjCJqz
different name,liftdeur,IfcDoor - liftdeur
different GUID,2zilQ_m$j83PfsTQ$4$xs$,2gr0NgZhP7aubtkPzvBO_4
different name,liftdeur,IfcDoor - liftdeur
different GUID,3nUiG96vjAwPUR6jFmv$ZI,3G02Mo_kz3uACTdlJvXaZp
different name,D8R,IfcDoor - D8R
different GUID,0xrZguOJ55xx5lucOklTa9,2BCPuUt293qx0gZsT7Xeb$
different name,D7L,IfcDoor - D7L
different GUID,36MmH3zZH16QTwC46Vbk$D,21a9hNcT54xfRsqivOPoRt
different name,D1L,IfcDoor - D1L
different GUID,30hxmiOx15DRzAggBisbdA,0dUc22r5HEDQTgOB9fYZ20
different name,geveldrager,IfcMember - geveldrager
different GUID,0IAn27JfLBpu8ypPPKG8k3,2SHXpxGhv4Ng1m83NxgEsN
different name,traphek,IfcRailing - traphek
different GUID,0eucvL7jTBzhWlFD6WbUM1,1MxSVlQ7j7MxTFvKX421Pb
different name,traphek,IfcRailing - traphek
different GUID,0rmB3$jx1C38gqkeVCpSq2,2F$LDPtMfDSA4aHMt9fv7u
different name,afscheiding,IfcRailing - afscheiding
different GUID,2En3RuMqXFt8Nnzr9SXngL,2R9$nY6FH09BR44thuzzzJ
different name,afscheiding,IfcRailing - afscheiding
different GUID,1IoKrB2iX0RQCSK1TL0EpR,1EZE73EdT6r9TUIgBjp64f
different name,afscheiding,IfcRailing - afscheiding
different GUID,2XeGjIW4DD$Q8B54MkxXRb,2a3H868TzFTPqgIIVX31GF
different name,afscheiding,IfcRailing - afscheiding
different GUID,24vQSbcN92TOxmunUjRgX6,0Afqo$I7z1egGw4WGP4jdu
different name,afscheiding,IfcRailing - afscheiding
different GUID,0zYXyPDxL5auGRALTCz_bx,2mS1wUkB5B6uVadZqNeDNK
different name,afscheiding,IfcRailing - afscheiding
different GUID,1Y2Xz5kabEJx2M1UUviS71,3VowNPfHT1Hfa5n5UVNtof
different name,afscheiding,IfcRailing - afscheiding
different GUID,3CMQf2OJH6YBcD79nUtMw0,0Vvn0youXB5x_0PKCKC7b_
different name,afscheiding,IfcRailing - afscheiding
different GUID,3L2fUzvM18JRXMvi_HFisB,0jSAgsQprCmxK6QLvE63jh
different name,afscheiding,IfcRailing - afscheiding
different GUID,0VpKNQ$9fCAAgyLBv4rjWn,2c5H3Df8vCf9T3JTpfA8nC
different name,afscheiding,IfcRailing - afscheiding
different GUID,3MiF_WpoP8N9Hh8R8TEcJp,18jIBnCOz3oRmVY82nnaeM
different name,afscheiding,IfcRailing - afscheiding
different GUID,1eu8ngk854$evnd$QPrRsf,3484uPNWD49xne3YM$abG5
different name,afscheiding,IfcRailing - afscheiding
different GUID,3x36ju8yjC2ew728PDBVhv,3A25rz8Nf4oOsIGCbFvkIq
different name,leuning,IfcRailing - leuning
different GUID,3c2hrdPxL4ihih105Tr2La,3TieoKx_90a98EWAV_rmFr
different name,leuning,IfcRailing - leuning
different GUID,1eKQCZPOb0mfovg9ikZP$E,1gE35XsyDFZQy5_WZuKhDW
different name,leuning,IfcRailing - leuning
different GUID,2QCntWGSf9MxHhI1elKAjJ,1feiqokin84Bj2xAXZQj62
different name,leuning,IfcRailing - leuning
different GUID,1qY54Y7TPA49KudgbcGIhQ,3SulZTxCj5pxItrI6m61oE
different name,leuning,IfcRailing - leuning
different GUID,1APfFU__n83R4ra1XYtgu6,2ZCjDBFlrEMAj7Hqhb$40Q
different name,leuning,IfcRailing - leuning
different GUID,1DtFBJrsT9yQcdifhZoX3i,3yfPnPuP5F2AwVAkwL9XuO
different name,leuning,IfcRailing - leuning
different GUID,0AbS2GH2P94hXNOYagmx2C,2YV4ZkDyb9qOI7PdD$xs8B
different name,leuning,IfcRailing - leuning
different GUID,3Q_hQpMLHCnxUrLPy5MlJq,1Wuu14Lsn4FQ1OrXGBmFgi
different name,leuning,IfcRailing - leuning
different GUID,0zgJo8u2H6Hv6t9viYmKxm,1_n8tujczBAQYO3vxPOyNW
different name,leuning,IfcRailing - leuning
different GUID,1RN0CQ6Lb1ku4LwN9DvM0W,3bwM26Huz7bfGq$u5ilK33
different name,traphek,IfcRailing - traphek
different GUID,2$MSonz3z9Y9Jeihbq_AXi,12BRpcdZLEdeZtTL6gW9sW
different name,traphek,IfcRailing - traphek
different GUID,2WhALKJ6HDCBIy$zrtx8Xo,3BqS5sL_P8M9_cLqAP5Jar
different name,vloerveld,IfcSlab - vloerveld
different GUID,0QENsgqy1AHgG_7VgYdbwc,2gEyRsE1rCQe725LPs3_YQ
different name,vloerveld,IfcSlab - vloerveld
different GUID,1Kvhfn7iT0lvacFUqniu5y,3tFoXpp1XDHfbSfjhw_Jh8
different name,vloerveld,IfcSlab - vloerveld
different GUID,1A4uhs68j3Suvp_DeIOyYn,0a7UzqVsHAkOg6LTqmnc3a
different name,vloerveld,IfcSlab - vloerveld
different GUID,12tm$BD113oAzHX6K_xB_Z,2VaQz4Uqr0NQDpw2pzS1_g
different name,vloerveld,IfcSlab - vloerveld
different GUID,0GDbLsPyr8u8sjnEP52zPP,3GFMcjxPn4ngLK1MSPl7MH
different name,vloerveld,IfcSlab - vloerveld
different GUID,0oWjkdPRH11hIjsKRnvymk,3OnzoFN111Tfe98WnxMwJK
different name,vloerveld,IfcSlab - vloerveld
different GUID,0AWsnDjX10P8BR94gyNj2o,15WNTnJ0vADwXb389iFuYW
different name,vloerveld,IfcSlab - vloerveld
different GUID,3kQNZLqVfDcRRvBkM1IMS9,3$unM5SyH9EgQQs2VCnJa$
different name,vloerveld,IfcSlab - vloerveld
different GUID,06YbFx9M15FBLOYIMVt2$r,2q6d7P4xPEcx0_2PsNc3gn
different name,vloerveld,IfcSlab - vloerveld
different GUID,3y2ALpG0z8_OFPbRCDWgIT,3aNrQgnmD2YgNtlgnGtkp3
different name,vloerveld,IfcSlab - vloerveld
different GUID,3TpyrZupTCDPuevUhz2MFt,2G27MuO2r6agQzUkVwV3aT
different name,vloerveld,IfcSlab - vloerveld
different GUID,1fRPC59i5A$Bo5RZ$znSER,20yLg4Ofn9suOTvpgC6pAe
different name,prefab balkon,IfcSlab - prefab balkon
different GUID,2qZf7$0pX6jh2ueXurPaRM,2eW8FQmgjDt8YvNDWoIFlu
different name,prefab balkon,IfcSlab - prefab balkon
different GUID,26QGTgi0r7xhS4C$UZx$YZ,3K6B3R7lPBLOR6vBRIFYC4
different name,plat dak,IfcSlab - plat dak
